Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_ITI,time_memset
2,0,40,50,2.05923677471704,42,52,1,41,51,1,Oddball_Task,1,0,0,m,c,2533.606283,2535.6732257
2,0,40,50,1.96707136799256,42,52,1,41,51,1,Oddball_Task,2,0,0,m,c,2536.6900932,2538.657517
2,0,40,50,2.04424549971635,42,52,1,41,51,1,Oddball_Task,3,0,0,m,c,2539.6668552,2541.716868
2,0,40,50,1.99883478732785,42,52,1,41,51,1,Oddball_Task,4,0,0,m,c,2542.7277523,2544.727468
2,0,40,50,2.08074411211126,42,52,1,41,51,1,Oddball_Task,5,0,0,m,c,2545.7371454,2547.8208458
2,0,40,50,2.03974916646696,42,52,1,41,51,1,Oddball_Task,6,0,0,m,c,2548.8322239,2550.8664014
2,0,40,50,2.04881485207349,42,52,1,41,51,1,Oddball_Task,7,0,0,m,c,2551.8772414,2553.9279204
2,0,40,50,2.08094444761347,42,52,1,41,51,1,Oddball_Task,8,0,0,m,c,2554.9370083,2557.0209358
2,0,40,50,2.07188846112924,42,52,1,41,51,1,Oddball_Task,9,0,1,m,c,2558.0275379,2560.0949259
2,0,40,50,1.93658449388298,42,52,1,41,51,1,Oddball_Task,10,0,0,m,c,2561.1085192,2563.0432655
