Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_FIX,time_ITI,time_memset
1,0,40,50,2.06469156566546,42,52,1,41,51,1,Oddball_Task,1,0,0,m,c,24697.9622864,24695.8929064481,24697.9781245
1,0,40,50,2.09004440976767,42,52,1,41,51,1,Oddball_Task,2,0,0,m,c,24701.1581457,24699.0721243,24701.1641832
1,0,40,50,1.9763116914186,42,52,1,41,51,1,Oddball_Task,3,0,1,m,c,24704.1761503,24702.2061808,24704.1831099
1,0,40,50,1.93737452091088,42,52,1,41,51,1,Oddball_Task,4,0,0,m,c,24707.1431471,24705.2073191,24707.1520639
1,0,40,50,2.02926260202225,42,52,1,41,51,1,Oddball_Task,5,0,0,m,c,24710.2462186,24708.2106112,24710.2559708
1,0,40,50,1.95520501539972,42,52,1,41,51,1,Oddball_Task,6,0,1,m,c,24713.2247134,24711.2716232,24713.24035
1,0,40,50,1.93252234703893,42,52,1,41,51,1,Oddball_Task,7,0,0,m,c,24716.1926546,24714.2568624,24716.2090059
1,0,40,50,2.09194879170322,42,52,1,41,51,1,Oddball_Task,8,0,0,m,c,24719.3160669,24717.2262264,24719.3279404
1,0,40,50,1.94476238789823,42,52,1,41,51,1,Oddball_Task,9,0,0,m,c,24722.2981013,24720.3450156,24722.3139427
1,0,40,50,2.00119141033303,42,52,1,41,51,1,Oddball_Task,10,0,0,m,c,24725.3340684,24723.3306584,24725.349849
