Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_ITI,time_memset
2,0,40,50,1.90573483049282,42,52,1,41,51,1,Oddball_Task,1,0,0,m,c,2496.0668671,2497.9673672
2,0,40,50,2.09573612992823,42,52,1,41,51,1,Oddball_Task,2,0,1,m,c,2498.9770848,2501.07771
2,0,40,50,1.99421767490839,42,52,1,41,51,1,Oddball_Task,3,0,0,m,c,2502.0882979,2504.0897165
2,0,40,50,1.90848622750015,42,52,1,41,51,1,Oddball_Task,4,0,0,m,c,2505.1018914,2507.0199006
2,0,40,50,1.91934600515617,42,52,1,41,51,1,Oddball_Task,5,0,0,m,c,2508.0343274,2509.9514764
2,0,40,50,2.04448791847337,42,52,1,41,51,1,Oddball_Task,6,0,0,m,c,2510.957312,2513.0081463
2,0,40,50,2.00371898850211,42,52,1,41,51,1,Oddball_Task,7,0,0,m,c,2514.0221017,2516.0228853
2,0,40,50,2.06006611507048,42,52,1,41,51,1,Oddball_Task,8,0,0,m,c,2517.0343115,2519.1012727
2,0,40,50,2.06506275908041,42,52,1,41,51,1,Oddball_Task,9,0,0,m,c,2520.1102237,2522.1779997
2,0,40,50,1.9346777226238,42,52,1,41,51,1,Oddball_Task,10,0,0,m,c,2523.1886805,2525.1227101
