Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_FIX,time_ITI,time_memset
1,0.253079755300897,40,50,1.91079002373332,42,52,1,41,51,1,Oddball_Task,1,0,0,m,c,63079.5564409,63077.6416754,63079.8059453
1,0.212990620847373,40,50,2.08680213684584,42,52,1,41,51,1,Oddball_Task,2,0,0,m,c,63082.9048236,63080.8235059,63083.1209626
1,0.201190206950124,40,50,1.99387812821164,42,52,1,41,51,1,Oddball_Task,3,0,0,m,c,63086.1336035,63084.1346362,63086.3330503
1,0.279428454068391,40,50,1.93243646163865,42,52,1,41,51,1,Oddball_Task,4,0,0,m,c,63089.2710612,63087.3396498,63089.5538351
1,0.216564872949978,40,50,2.00570662710124,42,52,1,41,51,1,Oddball_Task,5,0,0,m,c,63092.5577866,63090.5597282,63092.7738869
1,0.265407909847678,40,50,1.95259425690803,42,52,1,41,51,1,Oddball_Task,6,0,0,m,c,63095.7274979,63093.7794117,63095.9935652
1,0.24505415985025,40,50,2.04963031856474,42,52,1,41,51,1,Oddball_Task,7,0,0,m,c,63099.0474131,63096.9993876,63099.2968089
1,0.291333736150167,40,50,1.94579539374336,42,52,1,41,51,1,Oddball_Task,8,0,0,m,c,63102.2500106,63100.3017614,63102.5327291
1,0.253834243526006,40,50,2.06516339549791,42,52,1,41,51,1,Oddball_Task,9,0,0,m,c,63105.6027141,63103.5380721,63105.8521245
1,0.244267826977545,40,50,1.91563510575064,42,52,1,41,51,1,Oddball_Task,10,0,0,m,c,63108.7727195,63106.8571895,63109.0229241
