Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,oddball_acc,oddball_correct,oddball_istarget,oddball_response,oddball_rt,targetKey,time_ITI,time_memset
5,0,40,50,1.58330997143276,42,52,1,41,51,901,Oddball_Task,1,1,0,m,1,m,0,m,0.699689952834888,c,13754.0675592555,13755.6668513451
5,0,40,50,1.40585722665721,42,52,1,41,51,901,Oddball_Task,2,1,0,m,1,m,0,m,0.354790973857234,c,13756.899505945,13758.3158759092
5,0,40,50,1.45507005586293,42,52,1,41,51,901,Oddball_Task,3,1,0,m,1,m,0,m,0.327459483469283,c,13759.5485863234,13761.0147964425
5,0,40,50,1.55386610358643,42,52,1,41,51,901,Oddball_Task,4,1,0,m,1,m,0,m,0.320426585156383,c,13762.2476164398,13763.8137006113
5,0,40,50,1.43386364969137,42,52,1,41,51,901,Oddball_Task,5,1,0,m,1,m,0,m,0.286135836309768,c,13765.0464051811,13766.4959823364
5,0,40,50,1.40395212930209,42,52,1,41,51,901,Oddball_Task,6,1,0,m,1,m,0,m,0.340944927909732,c,13767.7286381051,13769.1449692039
5,0,40,50,1.49377097982776,42,52,1,41,51,901,Oddball_Task,7,1,0,m,1,m,0,m,0.304784544981885,c,13770.377724328,13771.8939879236
5,0,40,50,1.48162212991998,42,52,1,41,51,901,Oddball_Task,8,1,0,m,1,m,0,m,0.3232617195481,c,13773.1266375557,13774.6263184497
5,0,40,50,1.42436832201097,42,52,1,41,51,901,Oddball_Task,9,1,0,m,1,m,0,m,0.473444942519563,c,13775.8589014553,13777.2919771465
5,0,40,50,1.42541982590142,42,52,1,41,51,901,Oddball_Task,10,1,0,m,1,m,0,m,0.438473609463472,c,13778.5414020543,13779.9909236875
5,0,40,50,1.53536324531727,42,52,1,41,51,901,Oddball_Task,11,1,0,m,1,m,0,m,0.336636411984728,c,13781.2236554339,13782.7731957692
5,0,40,50,1.41169564885266,42,52,1,41,51,901,Oddball_Task,12,1,0,m,1,m,0,m,0.358030250783486,c,13784.0058722857,13785.4388395627
5,0,40,50,1.46721423066474,42,52,1,41,51,901,Oddball_Task,13,1,0,m,1,m,0,m,0.322361969105259,c,13786.6714658171,13788.154472544
5,0,40,50,1.52930620403997,42,52,1,41,51,901,Oddball_Task,14,1,0,m,1,m,0,m,0.403286324612054,c,13789.4039471295,13790.9533717451
5,0,40,50,1.47524056262655,42,52,1,41,51,901,Oddball_Task,15,1,0,m,1,m,0,m,0.366807127871652,c,13792.1860681326,13793.6856850301
5,0,40,50,1.43280065549064,42,52,1,41,51,901,Oddball_Task,16,1,0,m,1,m,0,m,0.340463346639808,c,13794.9183136222,13796.3680579861
5,0,40,50,1.43152064605301,42,52,1,41,51,901,Oddball_Task,17,1,1,m,1,c,1,c,0.402063084809924,c,13797.6005553129,13799.0503530955
5,0,40,50,1.4011808654824,42,52,1,41,51,901,Oddball_Task,18,1,0,m,1,m,0,m,0.504888868110356,c,13800.2829924998,13801.6992981754
5,0,40,50,1.59633312051197,42,52,1,41,51,901,Oddball_Task,19,1,1,m,1,c,1,c,0.583873748561018,c,13802.9322073003,13804.5482207542
5,0,40,50,1.59436589730425,42,52,1,41,51,901,Oddball_Task,20,1,1,m,1,c,1,c,0.630680058209691,c,13805.7808800296,13807.3971126497
5,0,40,50,1.51941939479237,42,52,1,41,51,901,Oddball_Task,21,1,0,m,1,m,0,m,0.560710507706972,c,13808.6297587751,13810.1627865998
5,0,40,50,1.51044387555549,42,52,1,41,51,901,Oddball_Task,22,1,0,m,1,m,0,m,0.435130886075058,c,13811.3954084131,13812.9283298113
5,0,40,50,1.50574237967355,42,52,1,41,51,901,Oddball_Task,23,1,0,m,1,m,0,m,0.413481353338284,c,13814.1778327423,13815.6938648983
5,0,40,50,1.5001638624553,42,52,1,41,51,901,Oddball_Task,24,1,0,m,1,m,0,m,0.367628270691057,c,13816.9434286114,13818.4595496029
5,0,40,50,1.49247107905054,42,52,1,41,51,901,Oddball_Task,25,1,0,m,1,m,0,m,0.378528430243023,c,13819.6921641684,13821.2085008194
5,0,40,50,1.4992656398894,42,52,1,41,51,901,Oddball_Task,26,1,0,m,1,m,0,m,0.469362606148934,c,13822.44134887,13823.9574470681
5,0,40,50,1.42288025574433,42,52,1,41,51,901,Oddball_Task,27,1,0,m,1,m,0,m,0.547808337667448,c,13825.1901796912,13826.6231034272
5,0,40,50,1.49327444603995,42,52,1,41,51,901,Oddball_Task,28,1,0,m,1,m,0,m,0.58303273466845,c,13827.8557314349,13829.3720558126
5,0,40,50,1.4911204212921,42,52,1,41,51,901,Oddball_Task,29,1,0,m,1,m,0,m,0.449611052990804,c,13830.6214304583,13832.1210087824
5,0,40,50,1.56409314072886,42,52,1,41,51,901,Oddball_Task,30,1,0,m,1,m,0,m,0.440986715604595,c,13833.3703533293,13834.9533068719
