Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_ITI,time_memset
1,0,40,50,1.51980478045726,42,52,1,41,51,901,Oddball_Task,1,0,0,m,c,13250.5099052366,13252.0426957195
1,0,40,50,1.54543368007589,42,52,1,41,51,901,Oddball_Task,2,0,0,m,c,13253.2089175274,13254.7750224467
1,0,40,50,1.53075982069221,42,52,1,41,51,901,Oddball_Task,3,0,1,m,c,13255.8578927061,13257.407345375
1,0,40,50,1.59570763204874,42,52,1,41,51,901,Oddball_Task,4,0,1,m,c,13258.4902135889,13260.1062805193
1,0,40,50,1.46500437599569,42,52,1,41,51,901,Oddball_Task,5,0,0,m,c,13261.2391922742,13262.7219663928
1,0,40,50,1.45357365871702,42,52,1,41,51,901,Oddball_Task,6,0,0,m,c,13263.7881370619,13265.2543489343
1,0,40,50,1.59265139449414,42,52,1,41,51,901,Oddball_Task,7,0,1,m,c,13266.303829072,13267.9199751945
1,0,40,50,1.46199795673942,42,52,1,41,51,901,Oddball_Task,8,0,0,m,c,13268.9694211422,13270.4523241305
1,0,40,50,1.44915301197662,42,52,1,41,51,901,Oddball_Task,9,0,0,m,c,13271.5018551148,13272.9680336739
1,0,40,50,1.59229725143125,42,52,1,41,51,901,Oddball_Task,10,0,0,m,c,13274.0175284226,13275.6336999684
