Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,oddball_acc,oddball_correct,oddball_istarget,oddball_response,oddball_rt,targetKey,time_ITI,time_feed,time_memset
4,0,40,50,1.51907174655763,42,52,1,41,51,901,Oddball_Task,1,1,1,m,1,c,1,c,0.525451628551309,c,13589.5304784661,13592.2960217863,13591.0631261036
4,0,40,50,1.47438787348943,42,52,1,41,51,901,Oddball_Task,2,1,1,m,1,c,1,c,0.384354453166452,c,13593.1956705359,13595.8779934642,13594.67841514
4,0,40,50,1.55533124533493,42,52,1,41,51,901,Oddball_Task,3,1,1,m,1,c,1,c,0.415004704769672,c,13596.7776337393,13599.5432331151,13598.3437056375
4,0,40,50,1.45581493190358,42,52,1,41,51,901,Oddball_Task,4,1,0,m,1,m,0,m,0.418126800816026,c,13600.4260633402,13603.091859089,13601.8923421313
4,0,40,50,1.56543398086625,42,52,1,41,51,901,Oddball_Task,5,1,0,m,1,m,0,m,0.359164947429235,c,13603.974810586,13606.7571481254,13605.5576086667
4,0,40,50,1.41365301881018,42,52,1,41,51,901,Oddball_Task,6,1,0,m,1,m,0,m,0.341519727882769,c,13607.6401379035,13610.2724485585,13609.0729318931
4,0,40,50,1.56714672381687,42,52,1,41,51,901,Oddball_Task,7,1,1,m,1,c,1,c,0.644055335089433,c,13611.1554506099,13613.9377507449,13612.738230865
4,0,40,50,1.43257067562486,42,52,1,41,51,901,Oddball_Task,8,1,1,m,1,c,1,c,0.863838155964913,c,13614.8205701577,13617.4697881048,13616.2702370251
4,0,40,50,1.49239178709109,42,52,1,41,51,901,Oddball_Task,9,1,0,m,1,m,0,m,0.601095538944719,c,13618.3527212597,13621.0683381688,13619.8688118601
4,0,40,50,1.5767105276037,42,52,1,41,51,901,Oddball_Task,10,1,0,m,1,m,0,m,0.471061582789844,c,13621.9513282391,13624.7502958201,13623.5508039935
